companyFullName,companyLabelList,financeStage,companySize,city,salary,secondType,workYear,education,positionName,positionLables,positionAdvantage,maxsalary,minsalary,avesalary,name,belong
南京市医家医健康管理有限公司,"['年底双薪', '午餐补助', '定期体检', '领导好']",未融资,15-50人,南京,6k-10k,交互,3-5年,本科,互联网UI设计师,"['UI', '交互', '界面设计', 'PS']",双休 五险一金 13薪 每年一调薪,10k,6k,8.0,硬件交互设计师,交互设计
上海汽车集团股份有限公司乘用车分公司,"['专项奖金', '绩效奖金', '带薪年假', '定期体检']",上市公司,2000人以上,上海,15k-30k,交互,5-10年,本科,交互设计师,"['汽车', '硬件交互', '界面设计', '交互', '移动交互']",世界500强,30k,15k,22.5,硬件交互设计师,交互设计
北京福易得信息技术有限公司,"['交通补助', '通讯津贴', '午餐补助', '岗位晋升']",未融资,150-500人,北京,30k-60k,交互,3-5年,本科,交互设计师-专家,"['交互', 'UI', '用户体验']",待遇丰厚，发展前景可观,60k,30k,45.0,无线交互设计师,交互设计
深圳无觅科技有限公司,"['高速增长', '股票期权', '小而精', '扁平管理']",B轮,150-500人,深圳,25k-50k,交互,3-5年,本科,高级/资深交互设计师,"['移动互联网', '教育', '交互', '移动交互', '用户体验', 'C端产品']",公司高速发展、团队优秀、待遇丰厚,50k,25k,37.5,硬件交互设计师,交互设计
广州市百果园网络科技有限公司,"['年底双薪', '五险一金', '年终奖', '员工旅游']",上市公司,2000人以上,广州,20k-40k,交互,1-3年,本科,高级交互设计师,"['社交', '工具软件', '交互', '用户体验']",发展空间广 设计大牛 年终奖,40k,20k,30.0,无线交互设计师,交互设计
北京闪送科技有限公司,"['股票期权', '岗位晋升', '五险一金', '高速成长']",D轮及以上,500-2000人,北京,20k-30k,交互,5-10年,本科,ue交互设计师,"['交互', '用户体验', '移动交互', 'C端产品']",带薪年假 扁平化管理 年终奖,30k,20k,25.0,硬件交互设计师,交互设计
上海易路软件有限公司,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",C轮,150-500人,上海,20k-35k,交互,3-5年,本科,高级UED设计师,['B端产品'],弹性工作 股权激励 带薪年假 团建旅游,35k,20k,27.5,硬件交互设计师,交互设计
上海润和信息技术服务有限公司,"['年底双薪', '技能培训', '带薪年假', '岗位晋升']",上市公司,2000人以上,杭州,10k-15k,交互,3-5年,大专,ue交互设计师【支付宝外包岗位】,"['交互', '用户体验']",朝九晚六周末双休,15k,10k,12.5,无线交互设计师,交互设计
北京猿力未来科技有限公司,"['股票期权', '年底双薪', '五险一金', '带薪年假']",D轮及以上,2000人以上,北京,20k-40k,交互,不限,本科,体验设计师,"['UI', '用户体验']",imac 五一九天假 7000旅游基金,40k,20k,30.0,硬件交互设计师,交互设计
广东星辉天拓互动娱乐有限公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",上市公司,500-2000人,广州,7k-14k,交互,应届毕业生,本科,游戏交互设计师（校招）,['交互'],五险一金、周末双休、有餐补、绩效奖金,14k,7k,10.5,无线交互设计师,交互设计
